"rt","responses","type","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","comparison_type","correct_side"
"null","","","html-keyboard-response","31","166751","0.0-31.0","<h1 style=""font-size: 35px"">SALT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WORLD</h1>","null","",""
"2441","","","html-keyboard-response","32","169943","0.0-32.0","<h1 style=""font-size: 35px;"">WITNESS<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>AUTHOR</h1>","65","",""
"null","","","html-keyboard-response","33","174695","0.0-33.0","<h1 style=""font-size: 35px"">LEOPARD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">LODGE</h1>","null","",""
"2947","","","html-keyboard-response","34","178395","0.0-34.0","<h1 style=""font-size: 35px;"">SPHINX<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>WHISKERS</h1>","76","",""
"null","","","html-keyboard-response","35","183146","0.0-35.0","<h1 style=""font-size: 35px"">LIVER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">MASK</h1>","null","",""
"1564","","","html-keyboard-response","36","185462","0.0-36.0","<h1 style=""font-size: 35px;"">PORK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>LIVER</h1>","76","",""
"null","","","html-keyboard-response","37","190218","0.0-37.0","<h1 style=""font-size: 35px"">CATTLE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CREVICE</h1>","null","",""
"1959","","","html-keyboard-response","38","192930","0.0-38.0","<h1 style=""font-size: 35px;"">BULLET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>MASK</h1>","76","",""
"null","","","html-keyboard-response","39","197685","0.0-39.0","<h1 style=""font-size: 35px"">WASP</h1><h1 style=""font-size: 35px; margin-top: 45px;"">JUGGLER</h1>","null","",""
"1688","","","html-keyboard-response","40","200124","0.0-40.0","<h1 style=""font-size: 35px;"">BEEF<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SLUG</h1>","65","",""
"null","","","html-keyboard-response","41","204881","0.0-41.0","<h1 style=""font-size: 35px"">SCALPEL</h1><h1 style=""font-size: 35px; margin-top: 45px;"">HEDGE</h1>","null","",""
"1207","","","html-keyboard-response","42","206840","0.0-42.0","<h1 style=""font-size: 35px;"">LEOPARD<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>WORLD</h1>","65","",""
"null","","","html-keyboard-response","43","211593","0.0-43.0","<h1 style=""font-size: 35px"">SALAD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DRAGON</h1>","null","",""
"1381","","","html-keyboard-response","44","213727","0.0-44.0","<h1 style=""font-size: 35px;"">SALAD<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FLASK</h1>","65","",""
"null","","","html-keyboard-response","45","218481","0.0-45.0","<h1 style=""font-size: 35px"">SHELTER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BATHTUB</h1>","null","",""
"1674","","","html-keyboard-response","46","220907","0.0-46.0","<h1 style=""font-size: 35px;"">DRINK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>HEDGE</h1>","76","",""
"null","","","html-keyboard-response","47","225662","0.0-47.0","<h1 style=""font-size: 35px"">GAZELLE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FUNGUS</h1>","null","",""
"926","","","html-keyboard-response","48","227342","0.0-48.0","<h1 style=""font-size: 35px;"">JUGGLER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GAZELLE</h1>","76","",""
"null","","","html-keyboard-response","49","232094","0.0-49.0","<h1 style=""font-size: 35px"">GRAVEL</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CHAUFFEUR</h1>","null","",""
"878","","","html-keyboard-response","50","233729","0.0-50.0","<h1 style=""font-size: 35px;"">CHAUFFEUR<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FUNGUS</h1>","65","",""
"null","","","html-keyboard-response","51","238483","0.0-51.0","<h1 style=""font-size: 35px"">CHEST</h1><h1 style=""font-size: 35px; margin-top: 45px;"">NURSE</h1>","null","",""
"1032","","","html-keyboard-response","52","240265","0.0-52.0","<h1 style=""font-size: 35px;"">LACE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CHEST</h1>","76","",""
"null","","","html-keyboard-response","53","245020","0.0-53.0","<h1 style=""font-size: 35px"">CLIMBER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PICTURE</h1>","null","",""
"753","","","html-keyboard-response","54","246526","0.0-54.0","<h1 style=""font-size: 35px;"">DRAGON<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PICTURE</h1>","76","",""
"null","","","html-keyboard-response","55","251278","0.0-55.0","<h1 style=""font-size: 35px"">LONDON</h1><h1 style=""font-size: 35px; margin-top: 45px;"">KETCHUP</h1>","null","",""
"749","","","html-keyboard-response","56","252780","0.0-56.0","<h1 style=""font-size: 35px;"">LONDON<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CATTLE</h1>","65","",""
"null","","","html-keyboard-response","57","257537","0.0-57.0","<h1 style=""font-size: 35px"">LABEL</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PRINCESS</h1>","null","",""
"894","","","html-keyboard-response","58","259186","0.0-58.0","<h1 style=""font-size: 35px;"">LABEL<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>DOUGHNUT</h1>","65","",""
"null","","","html-keyboard-response","59","263940","0.0-59.0","<h1 style=""font-size: 35px"">ROD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DORM</h1>","null","",""
"1471","","","html-keyboard-response","60","266163","0.0-60.0","<h1 style=""font-size: 35px;"">CONCERT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>NURSE</h1>","76","",""
"null","","","html-keyboard-response","61","270921","0.0-61.0","<h1 style=""font-size: 35px"">LAMP</h1><h1 style=""font-size: 35px; margin-top: 45px;"">OINTMENT</h1>","null","",""
"1074","","","html-keyboard-response","62","272748","0.0-62.0","<h1 style=""font-size: 35px;"">KETCHUP<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BATHTUB</h1>","65","",""
"null","","","html-keyboard-response","63","277503","0.0-63.0","<h1 style=""font-size: 35px"">HOUND</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FIREMAN</h1>","null","",""
"770","","","html-keyboard-response","64","279026","0.0-64.0","<h1 style=""font-size: 35px;"">OINTMENT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FIREMAN</h1>","76","",""
"null","","","html-keyboard-response","65","283779","0.0-65.0","<h1 style=""font-size: 35px"">SUNSET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">COFFEE</h1>","null","",""
"1088","","","html-keyboard-response","66","285617","0.0-66.0","<h1 style=""font-size: 35px;"">XEROX<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>WASP</h1>","65","",""
"null","","","html-keyboard-response","67","290370","0.0-67.0","<h1 style=""font-size: 35px"">ANTLER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">REPORT</h1>","null","",""
"1519","","","html-keyboard-response","68","292639","0.0-68.0","<h1 style=""font-size: 35px;"">SUNSET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>HOUND</h1>","65","",""
"null","","","html-keyboard-response","69","297393","0.0-69.0","<h1 style=""font-size: 35px"">ICEBERG</h1><h1 style=""font-size: 35px; margin-top: 45px;"">MAILMAN</h1>","null","",""
"1054","","","html-keyboard-response","70","299201","0.0-70.0","<h1 style=""font-size: 35px;"">MAILMAN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>DORM</h1>","65","",""
"null","","","html-keyboard-response","71","303955","0.0-71.0","<h1 style=""font-size: 35px"">ELBOW</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CANDY</h1>","null","",""
"1378","","","html-keyboard-response","72","306086","0.0-72.0","<h1 style=""font-size: 35px;"">ANTLER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CLAMP</h1>","65","",""
"null","","","html-keyboard-response","73","310840","0.0-73.0","<h1 style=""font-size: 35px"">SHELF</h1><h1 style=""font-size: 35px; margin-top: 45px;"">EXPERT</h1>","null","",""
"2047","","","html-keyboard-response","74","313643","0.0-74.0","<h1 style=""font-size: 35px;"">PRINCESS<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FEMALE</h1>","65","16,many","0"
"null","","","html-keyboard-response","75","318400","0.0-75.0","<h1 style=""font-size: 35px"">PARSLEY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WINDOW</h1>","null","",""
"1046","","","html-keyboard-response","76","320200","0.0-76.0","<h1 style=""font-size: 35px;"">PARSLEY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ROD</h1>","65","0,16","0"
"null","","","html-keyboard-response","77","324955","0.0-77.0","<h1 style=""font-size: 35px"">FRAGRANCE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">ZEBRA</h1>","null","",""
"1947","","","html-keyboard-response","78","327655","0.0-78.0","<h1 style=""font-size: 35px;"">POISON<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>COUNTRY</h1>","76","68,many","1"
"null","","","html-keyboard-response","79","332407","0.0-79.0","<h1 style=""font-size: 35px"">BIKE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">OUTDOORS</h1>","null","",""
"1688","","","html-keyboard-response","80","334848","0.0-80.0","<h1 style=""font-size: 35px;"">HORNET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FRAGRANCE</h1>","76","2,many","1"
"null","","","html-keyboard-response","81","339601","0.0-81.0","<h1 style=""font-size: 35px"">BELLY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BLADE</h1>","null","",""
"2151","","","html-keyboard-response","82","342505","0.0-82.0","<h1 style=""font-size: 35px;"">ZEBRA<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BIKE</h1>","65","2,4","1"
"null","","","html-keyboard-response","83","347257","0.0-83.0","<h1 style=""font-size: 35px"">DRAWING</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TREAT</h1>","null","",""
"2471","","","html-keyboard-response","84","350483","0.0-84.0","<h1 style=""font-size: 35px;"">BELLY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>REPORT</h1>","65","2,16","0"
"null","","","html-keyboard-response","85","355237","0.0-85.0","<h1 style=""font-size: 35px"">BANJO</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CHAMPAGNE</h1>","null","",""
"3121","","","html-keyboard-response","86","359110","0.0-86.0","<h1 style=""font-size: 35px;"">BLADE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>RAZOR</h1>","65","4,68","0"
"null","","","html-keyboard-response","87","363864","0.0-87.0","<h1 style=""font-size: 35px"">COOK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SCARF</h1>","null","",""
"1565","","","html-keyboard-response","88","366184","0.0-88.0","<h1 style=""font-size: 35px;"">BANJO<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>VIRUS</h1>","65","2,68","0"
"null","","","html-keyboard-response","89","370939","0.0-89.0","<h1 style=""font-size: 35px"">DANCER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">RATTLE</h1>","null","",""
"1534","","","html-keyboard-response","90","373225","0.0-90.0","<h1 style=""font-size: 35px;"">HUSBAND<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>DANCER</h1>","76","0,many","1"
"null","","","html-keyboard-response","91","377978","0.0-91.0","<h1 style=""font-size: 35px"">COMET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DRUG</h1>","null","",""
"2474","","","html-keyboard-response","92","381204","0.0-92.0","<h1 style=""font-size: 35px;"">WINDOW<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BURGLAR</h1>","76","16,68","0"
"null","","","html-keyboard-response","93","385959","0.0-93.0","<h1 style=""font-size: 35px"">CLOCK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DUST</h1>","null","",""
"1933","","","html-keyboard-response","94","388645","0.0-94.0","<h1 style=""font-size: 35px;"">COMET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CLOCK</h1>","76","0,2","1"
"null","","","html-keyboard-response","95","393400","0.0-95.0","<h1 style=""font-size: 35px"">ORANGE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GREASE</h1>","null","",""
"990","","","html-keyboard-response","96","395144","0.0-96.0","<h1 style=""font-size: 35px;"">ORANGE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CRAB</h1>","65","0,68","0"
"null","","","html-keyboard-response","97","399898","0.0-97.0","<h1 style=""font-size: 35px"">SNACK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CAMEL</h1>","null","",""
"1249","","","html-keyboard-response","98","401900","0.0-98.0","<h1 style=""font-size: 35px;"">DUST<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ACTRESS</h1>","65","4,many","0"
"null","","","html-keyboard-response","99","406655","0.0-99.0","<h1 style=""font-size: 35px"">CRICKET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">WARDROBE</h1>","null","",""
"4217","","","html-keyboard-response","100","411625","0.0-100.0","<h1 style=""font-size: 35px;"">DRAWING<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GREASE</h1>","65","4,16","1"
"null","","","html-keyboard-response","101","416381","0.0-101.0","<h1 style=""font-size: 35px"">BUGGY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">DAUGHTER</h1>","null","",""
"1048","","","html-keyboard-response","102","418181","0.0-102.0","<h1 style=""font-size: 35px;"">CAMEL<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BUGGY</h1>","76","0,4","1"
"null","","","html-keyboard-response","103","422936","0.0-103.0","<h1 style=""font-size: 35px"">BUG</h1><h1 style=""font-size: 35px; margin-top: 45px;"">NIGHTGOWN</h1>","null","",""
"954","","","html-keyboard-response","104","424640","0.0-104.0","<h1 style=""font-size: 35px;"">LILY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BUG</h1>","76","0,many","1"
"null","","","html-keyboard-response","105","429393","0.0-105.0","<h1 style=""font-size: 35px"">OUTLAW</h1><h1 style=""font-size: 35px; margin-top: 45px;"">STOMACH</h1>","null","",""
"814","","","html-keyboard-response","106","430961","0.0-106.0","<h1 style=""font-size: 35px;"">OUTLAW<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>CREVICE</h1>","65","0,68","0"
"null","","","html-keyboard-response","107","435713","0.0-107.0","<h1 style=""font-size: 35px"">VAGRANT</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SUPPER</h1>","null","",""
"1751","","","html-keyboard-response","108","438217","0.0-108.0","<h1 style=""font-size: 35px;"">CLOUD<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>DRUG</h1>","65","16,many","1"
"null","","","html-keyboard-response","109","442972","0.0-109.0","<h1 style=""font-size: 35px"">BARLEY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PADDING</h1>","null","",""
"1789","","","html-keyboard-response","110","445515","0.0-110.0","<h1 style=""font-size: 35px;"">SCALPEL<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PEACH</h1>","65","68,many","0"
"null","","","html-keyboard-response","111","450271","0.0-111.0","<h1 style=""font-size: 35px"">SUNRISE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">POLICE</h1>","null","",""
"1544","","","html-keyboard-response","112","452568","0.0-112.0","<h1 style=""font-size: 35px;"">PLAYGROUND<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>VAGRANT</h1>","76","4,many","1"
"null","","","html-keyboard-response","113","457323","0.0-113.0","<h1 style=""font-size: 35px"">POSSUM</h1><h1 style=""font-size: 35px; margin-top: 45px;"">POET</h1>","null","",""
"5098","","","html-keyboard-response","114","463171","0.0-114.0","<h1 style=""font-size: 35px;"">SHELTER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>BARLEY</h1>","65","4,68","1"
"null","","","html-keyboard-response","115","467924","0.0-115.0","<h1 style=""font-size: 35px"">MUSTARD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GYMNAST</h1>","null","",""
"1192","","","html-keyboard-response","116","469868","0.0-116.0","<h1 style=""font-size: 35px;"">MUSTARD<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>POSSUM</h1>","65","0,2","0"
"null","","","html-keyboard-response","117","474623","0.0-117.0","<h1 style=""font-size: 35px"">PAPER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">HEADBAND</h1>","null","",""
"2180","","","html-keyboard-response","118","477555","0.0-118.0","<h1 style=""font-size: 35px;"">POET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>DAUGHTER</h1>","65","4,16","0"
"null","","","html-keyboard-response","119","482308","0.0-119.0","<h1 style=""font-size: 35px"">BRICK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">KIDNEY</h1>","null","",""
"2690","","","html-keyboard-response","120","485751","0.0-120.0","<h1 style=""font-size: 35px;"">PAPER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>GYMNAST</h1>","76","2,4","0"
"null","","","html-keyboard-response","121","490503","0.0-121.0","<h1 style=""font-size: 35px"">BALLOON</h1><h1 style=""font-size: 35px; margin-top: 45px;"">EYELASH</h1>","null","",""
"6455","","","html-keyboard-response","122","497709","0.0-122.0","<h1 style=""font-size: 35px;"">CLIMBER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>STOMACH</h1>","76","16,68","1"
"null","","","html-keyboard-response","123","502461","0.0-123.0","<h1 style=""font-size: 35px"">SAUSAGE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CROSS</h1>","null","",""
"1577","","","html-keyboard-response","124","504792","0.0-124.0","<h1 style=""font-size: 35px;"">BALLOON<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PORTRAIT</h1>","65","2,many","0"
"null","","","html-keyboard-response","125","509548","0.0-125.0","<h1 style=""font-size: 35px"">PRINCE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SPIDER</h1>","null","",""
"805","","","html-keyboard-response","126","511105","0.0-126.0","<h1 style=""font-size: 35px;"">PADDING<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PRINCE</h1>","76","0,16","1"
"null","","","html-keyboard-response","127","515862","0.0-127.0","<h1 style=""font-size: 35px"">FIDDLE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SUITCASE</h1>","null","",""
"3896","","","html-keyboard-response","128","520511","0.0-128.0","<h1 style=""font-size: 35px;"">SPIDER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SUNRISE</h1>","65","2,16","0"
"null","","","html-keyboard-response","129","525264","0.0-129.0","<h1 style=""font-size: 35px"">SLOPE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">NECKLACE</h1>","null","",""
"6695","","","html-keyboard-response","130","532715","0.0-130.0","<h1 style=""font-size: 35px;"">LAMP<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FIDDLE</h1>","76","2,68","1"
"null","","","html-keyboard-response","131","537470","0.0-131.0","<h1 style=""font-size: 35px"">SLIME</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SILK</h1>","null","",""
"936","","","html-keyboard-response","132","539158","0.0-132.0","<h1 style=""font-size: 35px;"">SUITCASE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SLIME</h1>","76","0,4","1"
"null","","","html-keyboard-response","133","543912","0.0-133.0","<h1 style=""font-size: 35px"">HELMET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BOUQUET</h1>","null","",""
"2722","","","html-keyboard-response","134","547387","0.0-134.0","<h1 style=""font-size: 35px;"">SILK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SLOPE</h1>","76","2,4","0"
"null","","","html-keyboard-response","135","552141","0.0-135.0","<h1 style=""font-size: 35px"">OX</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CANYON</h1>","null","",""
"741","","","html-keyboard-response","136","553635","0.0-136.0","<h1 style=""font-size: 35px;"">OX<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ULCER</h1>","65","0,many","0"
"null","","","html-keyboard-response","137","558389","0.0-137.0","<h1 style=""font-size: 35px"">HATCHET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GUARD</h1>","null","",""
"780","","","html-keyboard-response","138","559919","0.0-138.0","<h1 style=""font-size: 35px;"">HATCHET<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>EYELASH</h1>","65","0,16","0"
"null","","","html-keyboard-response","139","564672","0.0-139.0","<h1 style=""font-size: 35px"">GHETTO</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FLESH</h1>","null","",""
