rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
907.595,,,html-keyboard-response,76,321043,0.0-76.0,"<h1 style=""font-size: 35px;"">BRANCH<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>WHISKERS</h1>",65,"0,16",0
null,,,html-keyboard-response,77,325800,0.0-77.0,"<h1 style=""font-size: 35px"">PLUTO</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GIFT</h1>",null,,
1312.7,,,html-keyboard-response,78,327868,0.0-78.0,"<h1 style=""font-size: 35px;"">LIVER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>COBRA</h1>",76,"68,many",1
null,,,html-keyboard-response,79,332623,0.0-79.0,"<h1 style=""font-size: 35px"">SHRUB</h1><h1 style=""font-size: 35px; margin-top: 45px;"">ROOSTER</h1>",null,,
3344.875,,,html-keyboard-response,80,336724,0.0-80.0,"<h1 style=""font-size: 35px;"">FLASK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PLUTO</h1>",76,"2,many",1
null,,,html-keyboard-response,81,341479,0.0-81.0,"<h1 style=""font-size: 35px"">ITEM</h1><h1 style=""font-size: 35px; margin-top: 45px;"">BLADE</h1>",null,,
3390.435,,,html-keyboard-response,82,345620,0.0-82.0,"<h1 style=""font-size: 35px;"">GIFT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SHRUB</h1>",76,"2,4",1
null,,,html-keyboard-response,83,350375,0.0-83.0,"<h1 style=""font-size: 35px"">BANJO</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SPONGE</h1>",null,,
1354.125,,,html-keyboard-response,84,352484,0.0-84.0,"<h1 style=""font-size: 35px;"">ITEM<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>JUDGE</h1>",76,"2,16",0
null,,,html-keyboard-response,85,357242,0.0-85.0,"<h1 style=""font-size: 35px"">CANDY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GYMNAST</h1>",null,,
1245.79,,,html-keyboard-response,86,359244,0.0-86.0,"<h1 style=""font-size: 35px;"">BLADE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>TEACHER</h1>",65,"4,68",0
null,,,html-keyboard-response,87,364003,0.0-87.0,"<h1 style=""font-size: 35px"">JELLY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">COUNTRY</h1>",null,,
1320.775,,,html-keyboard-response,88,366076,0.0-88.0,"<h1 style=""font-size: 35px;"">CANDY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FLOWER</h1>",65,"2,68",0
null,,,html-keyboard-response,89,370834,0.0-89.0,"<h1 style=""font-size: 35px"">KEEPER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">COURSE</h1>",null,,
1567.78,,,html-keyboard-response,90,373156,0.0-90.0,"<h1 style=""font-size: 35px;"">NIGHTGOWN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>KEEPER</h1>",76,"0,many",1
null,,,html-keyboard-response,91,377908,0.0-91.0,"<h1 style=""font-size: 35px"">MAILMAN</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TUBA</h1>",null,,
15581.81,,,html-keyboard-response,92,394244,0.0-92.0,"<h1 style=""font-size: 35px;"">HAWK<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>HANDBAG</h1>",65,"16,68",0
null,,,html-keyboard-response,93,399001,0.0-93.0,"<h1 style=""font-size: 35px"">TYPIST</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SPOOL</h1>",null,,
4007.45,,,html-keyboard-response,94,403765,0.0-94.0,"<h1 style=""font-size: 35px;"">MAILMAN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>TYPIST</h1>",76,"0,2",1
null,,,html-keyboard-response,95,408523,0.0-95.0,"<h1 style=""font-size: 35px"">BUGGY</h1><h1 style=""font-size: 35px; margin-top: 45px;"">HORSE</h1>",null,,
805.82,,,html-keyboard-response,96,410085,0.0-96.0,"<h1 style=""font-size: 35px;"">BUGGY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SERVANT</h1>",65,"0,68",0
null,,,html-keyboard-response,97,414839,0.0-97.0,"<h1 style=""font-size: 35px"">BINDER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">YARN</h1>",null,,
1556.37,,,html-keyboard-response,98,417149,0.0-98.0,"<h1 style=""font-size: 35px;"">SPOOL<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>PEDAL</h1>",65,"4,many",0
null,,,html-keyboard-response,99,421906,0.0-99.0,"<h1 style=""font-size: 35px"">TABLET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SILK</h1>",null,,
1432.53,,,html-keyboard-response,100,424093,0.0-100.0,"<h1 style=""font-size: 35px;"">BANJO<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>HORSE</h1>",76,"4,16",1
null,,,html-keyboard-response,101,428851,0.0-101.0,"<h1 style=""font-size: 35px"">MARKET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">GUARD</h1>",null,,
1152.53,,,html-keyboard-response,102,430757,0.0-102.0,"<h1 style=""font-size: 35px;"">YARN<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>MARKET</h1>",76,"0,4",1
null,,,html-keyboard-response,103,435517,0.0-103.0,"<h1 style=""font-size: 35px"">INMATE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">TWEEZERS</h1>",null,,
1213.695,,,html-keyboard-response,104,437485,0.0-104.0,"<h1 style=""font-size: 35px;"">EXPERT<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>INMATE</h1>",76,"0,many",1
null,,,html-keyboard-response,105,442244,0.0-105.0,"<h1 style=""font-size: 35px"">FINGER</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PLAZA</h1>",null,,
1149.535,,,html-keyboard-response,106,444149,0.0-106.0,"<h1 style=""font-size: 35px;"">FINGER<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>FLIPPER</h1>",65,"0,68",0
